RPM;speed
2283;69
2279;69
2261;68
2243;68
2248;68
2218;68
2201;66
2176;65
2144;64
2110;64
2171;65
2195;67
2219;67
2209;67
2136;65
2082;63
2036;62
2003;61
1946;59
1876;57
1800;54
1697;52
1625;49
1587;48
1517;46
1467;45
1471;44
1487;45
1494;45
1476;45
1461;44
1444;43
1415;43
1357;41
1248;38
1218;37
1215;37
1206;36
1198;36
1132;34
851;30
829;26
830;23
1587;21
1701;22
1912;25
2194;28
2304;30
2333;31
2245;30
1511;27
942;24
833;20
748;16
763;11
764;6
779;6
755;3
786;0
768;0
774;0
760;0
763;0
770;0
758;0
755;0
784;0
755;0
761;0
747;0
759;0
733;0
759;0
763;0
742;0
768;0
756;0
758;0
759;0
724;0
765;0
755;0
765;0
753;0
767;0
770;0
763;0
764;0
746;0
770;0
774;0
767;0
778;0
749;0
765;0
767;0
737;0
762;0
762;0
1577;0
1901;0
1568;7
2346;15
2114;18
1571;20
1635;21
1538;21
1620;21
1722;22
1969;25
2322;29
2489;34
1994;37
2180;40
2336;44
2380;44
2342;44
2386;45
2442;46
2471;46
2441;45
2379;45
2316;44
2246;42
2141;40
1324;36
865;32
760;28
819;25
778;21
791;17
750;15
749;11
753;7
759;0
761;0
744;0
762;0
759;0
742;0
781;0
761;0
759;0
760;0
771;0
741;0
765;0
770;0
758;0
761;0
767;0
746;0
745;0
759;0
754;0
760;0
756;0
756;0
744;0
780;0
774;0
739;0
747;0
762;0
749;0
768;0
774;0
762;0
756;0
769;0
740;0
772;0
1394;0
1675;0
1775;7
2535;17
1857;19
1677;21
1883;25
2036;27
1563;29
1742;32
1854;34
1927;36
2086;38
1603;40
1636;42
1571;40
1448;37
1491;37
1567;40
1645;42
1711;43
1771;45
1824;47
1878;48
1894;48
1895;49
1905;49
1927;49
1898;49
1910;49
1881;48
1829;47
1679;43
1134;37
853;30
740;24
811;17
767;13
767;8
816;0
1931;0
1908;0
2101;12
1957;15
1620;17
1577;20
1773;23
1955;25
2177;28
2287;31
1799;33
1936;36
2092;39
2152;40
2179;41
2183;41
2137;40
2180;40
2197;41
2180;41
2212;41
2209;41
2210;41
2158;41
2192;41
2198;41
2186;41
2220;41
2155;41
2099;39
2036;38
1971;37
2021;37
2134;40
2138;40
2108;40
2070;39
2036;38
1991;37
1941;36
1871;35
1931;36
1884;36
1882;35
1809;34
1834;34
1893;35
1907;35
1886;35
1895;35
1901;36
1962;36
2105;39
2171;40
2077;39
2012;38
1940;37
1937;36
1959;36
2038;38
2120;39
2131;40
2143;40
2111;39
2134;40
2181;41
2148;40
2066;39
2004;37
1971;37
1931;36
1315;35
847;33
764;29
803;25
1259;23
1270;23
1313;24
1284;24
1268;23
1372;25
1539;28
1788;33
2026;37
2220;41
2462;46
1860;48
1969;50
2085;53
2155;56
2234;57
1931;58
2026;61
2085;63
2144;65
2186;66
2225;68
2264;68
2272;69
2300;70
2333;71
2368;71
2406;72
2427;73
2431;74
2434;74
2447;74
2441;74
2427;74
2444;74
2457;74
2474;75
2471;75
2495;76
2499;76
2484;76
2480;75
2475;75
2472;75
2495;75
2496;76
2496;76
2503;76
2513;76
2506;76
2503;76
2504;76
2503;76
2486;75
2453;75
2452;74
2450;74
2456;74
2443;74
2427;74
2382;73
2397;72
2408;73
2411;73
2400;73
2403;73
2375;72
2309;70
2260;68
2202;67
2149;65
2134;64
2101;64
2082;63
2083;63
2083;63
2091;63
2110;64
2109;64
2093;64
2086;63
2087;63
2067;62
2045;62
2048;62
2045;62
2038;62
2040;62
2040;61
2026;61
2024;61
2044;62
2030;62
2041;62
2033;62
2033;62
2043;62
2023;61
2076;63
2094;63
2090;63
2059;62
2029;62
2042;62
2017;61
2063;62
2083;63
2051;62
1975;60
1940;59
1946;59
1934;58
1913;58
1879;57
1878;57
1894;57
1845;56
1775;55
1798;54
1753;53
1727;52
1730;52
1719;52
1698;51
1726;52
1739;53
1774;54
1769;55
1802;54
1791;54
1821;54
1852;56
1894;58
1943;59
1949;59
1952;59
1948;59
1892;57
1809;55
1775;54
1732;52
1722;52
1719;52
1707;52
1701;51
1676;51
1674;51
1646;50
1625;49
1605;48
1564;47
1555;47
1539;47
1535;46
1500;45
1492;45
1465;44
1448;44
1425;43
1399;42
1363;41
1383;42
1404;42
1447;43
1479;45
1491;45
1483;45
1466;44
1490;45
1432;44
1410;43
1401;42
1369;42
1373;41
1399;42
1453;44
1530;46
1578;48
1601;48
1566;47
1549;47
1515;46
1470;44
1443;43
1413;43
1465;44
1510;46
1564;47
1575;48
1564;47
1576;47
1526;46
1479;45
993;44
841;40
765;36
810;30
760;22
798;17
771;14
777;10
743;6
798;6
801;0
768;0
793;0
761;0
753;0
770;0
752;0
766;0
765;0
766;0
763;0
768;0
761;0
767;0
774;0
761;0
762;0
757;0
752;0
746;0
770;0
774;0
733;0
774;0
758;0
740;0
757;0
789;0
769;0
835;0
1670;0
1500;8
2241;15
1597;17
1801;23
2159;28
2452;32
2660;36
2024;37
2201;41
2377;44
2436;46
1869;48
1964;50
2003;52
2012;52
2061;53
2112;54
2125;55
2165;55
2178;56
2177;56
2205;57
2252;58
2295;59
2348;60
2399;62
2040;62
2071;63
2101;63
2111;64
2094;63
2085;63
2095;63
2096;64
2103;64
2106;64
2124;64
2155;65
2177;66
2183;66
2175;66
2141;65
2142;65
2154;65
2173;66
2187;66
2184;66
2184;66
2192;67
2212;67
2211;67
2213;67
2233;68
2224;68
2216;67
2206;67
2203;67
2183;66
2145;65
2099;63
2048;62
2001;61
1954;59
1903;58
1852;56
1792;54
1168;49
820;45
776;39
792;33
768;28
758;24
1210;21
1711;22
1792;23
1841;24
1872;24
1873;25
1851;24
1851;24
1880;24
1865;24
1867;24
2027;26
2258;29
2525;33
1953;34
2028;38
2212;40
2263;42
1722;44
1797;46
1859;47
1909;49
1994;52
2085;54
2187;56
2234;57
2236;58
1954;59
2021;61
2050;62
2058;62
2064;62
2076;63
2048;62
2037;61
2018;61
2000;60
1958;60
1983;60
1982;60
1991;60
1997;60
2007;60
2008;61
2044;62
2056;62
2057;62
2085;63
2094;64
2115;64
2130;64
2147;65
2144;65
2152;65
2175;66
2165;66
2158;65
2142;65
2130;65
2151;65
2175;66
2130;65
2150;66
2182;66
2189;66
2180;66
2162;66
2147;65
2114;64
2079;63
2066;62
1984;60
1919;58
1498;55
911;49
791;43
761;37
775;29
789;22
740;15
775;10
760;6
747;0
761;0
751;0
770;0
771;0
714;0
755;0
770;0
863;0
1867;0
1818;8
2479;17
1647;18
1843;24
2148;27
2183;30
1679;31
1733;32
1611;30
1471;28
909;24
798;20
766;16
795;13
746;9
800;9
779;6
761;6
757;0
768;0
757;0
772;0
760;0
744;0
747;0
739;0
743;0
756;0
753;0
747;0
768;0
777;0
846;0
2094;0
1562;0
2130;12
1840;15
1112;14
1247;16
1454;18
1568;21
1465;19
1423;19
1435;19
1549;19
1769;23
1965;26
2271;29
1656;30
1841;34
2006;37
2075;39
2134;40
2196;41
2158;40
